Start Year,End Year,Appointment,Department,Institution
2016,,Director,Earth Research Institute,"University of California, Santa Barbara"
2016,,Full Professor,Bren School of Environmental Science & Management,"University of California, Santa Barbara"
2016,,Full Professor,Department of Geography,"University of California, Santa Barbara"
2014,2016,Director,Environmental Studies Program,Princeton University
2013,2016,Associate Professor,Department of Civil & Environmental Engineering,Princeton University
2013,2016,Affiliated Faculty,Department of Ecology & Evolutionary Biology,Princeton University
2007,2012,Assistant Professor,Department of Civil & Environmental Engineering,Princeton University
2007,,Adjunct Faculty,Department of Geography,Indiana University
2005,2007,Assistant Professor,Department of Geography,Indiana University
2004,2005,Postdoctoral Research Associate,"National Center for Earth Dynamics, Department of Civil & Environmental Engineering",Princeton University
2004,2005,Postdoctoral Research Associate,Princeton Environmental Institute,Princeton University
