TITLE,A1,A2,JOURNAL,YEAR,AGE,Rank,H Count,IN PRESS,2002,2003,2004,2005,2006,2007,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,TOTAL,salt,salted,GOOGLE,Cites Per Year,C+12,R+12,H+12,C+24,R+24,H+24,C+24,R+24,H+36,>100,>100+12,>100+24,>100+36,*,H
Determinants of woody cover in African savannas: A continental scale analysis,"Sankaran, M","Hanan, N",Nature,2005,14,1,1,0,,,,0,11,32,,50,61,67,71,84,78,69,72,101,95,102,75,0,968,0.2,968.2,"1,310",69.1,1037,1,1,1106,1,1,1175,1,1,1,1,1,1,1,1
Positive feedbacks promote power-law clustering of Kalahari vegetation,"Scanlon, TM","Caylor, K.K.",Nature,2007,12,2,1,0,,,,,,2,,15,18,17,26,25,17,19,22,18,17,17,8,0,221,0.4,221.4,316,18.4,239,2,1,258,3,1,276,3,1,1,1,1,1,1,2
Validation of SMAP surface soil moisture products with core validation sites,"Colliander, A","Jackson, TJ",Remote Sensing of Environment,2017,2,3,1,,,,,,,,,,,,,,,,,,21,69,62,0,152,0.2,152.2,118,76.0,228,3,1,304,2,1,380,2,1,1,1,1,1,1,3
On soil moisture-vegetation feedbacks in dryland plant ecosystems,"D'Odorico, P","Caylor, K.K.",JGR - Biogeosciences,2007,12,4,1,0,,,,,,0,,2,7,7,8,15,14,13,13,10,19,19,16,0,143,0.2,143.2,206,11.9,155,5,1,167,5,1,179,7,1,1,1,1,1,0,4
Partitioning evapotranspiration across gradients of woody plant cover: assessment of a stable isotope technique,"Wang, L.","Caylor, K.K.",Geophysical Research Letters,2010,9,5,1,0,,,,,,,,,,3,2,13,10,12,8,12,16,30,29,0,135,0.7,135.7,138,15.0,150,6,1,165,6,1,180,6,1,1,1,1,1,1,5
Photosynthetic seasonality of global tropical forests constrained by hydroclimate,"Guan, K.","Pan, M.",Nature Geoscience,2015,4,6,1,,,,,,,,,,,,,,,,5,25,24,39,31,0,124,0.2,124.2,121,31.0,155,4,1,186,4,1,217,4,1,1,1,1,1,1,6
Dryland ecohydrology and climate change: critical issues and technical advances ,"Wang, L","D'Odorico, P",Hydrology and Earth System Science,2012,7,7,1,0,,,,,,,,,,,,6,4,14,13,21,24,20,20,0,122,0.8,122.8,137,17.4,139,7,1,157,7,1,174,8,1,1,1,1,1,1,7
Trends in savanna structure and composition on an aridity gradient in the Kalahari,"Scholes, RJ","Dowty, PR",Journal of Vegetation Science,2002,17,8,1,0,0,6,11,9,5,5,,5,14,3,5,9,7,8,10,9,5,7,3,0,121,0.5,121.5,178,7.1,128,8,1,135,10,1,142,12,1,1,1,1,1,0,8
Determining land surface fractional cover from NDVI and rainfall time series for a savanna ecosystem,"Scanlon, TM","Albertson, JD",Remote Sensing of Environment,2002,17,9,1,0,0,4,4,7,7,4,,5,8,6,10,7,5,7,3,6,8,8,7,0,106,0.4,106.4,168,6.2,112,10,1,118,12,1,125,13,1,1,1,1,1,0,9
Global synthesis of vegetation control on evapotranspiration partitioning,"Wang, L","Good, S.P.",Geophysical Research Letters,2014,5,10,1,,,,,,,,,,,,,,,1,10,13,19,32,26,0,101,0.6,101.6,95,20.2,121,9,1,141,8,1,162,9,1,1,1,1,1,1,10
Climatological determinants of woody cover in Africa,"Good, SP","Caylor, K.K.",Proceedings of the National Academy of Sciences,2011,8,11,1,0,,,,,,,,,,,2,9,12,5,12,11,13,14,12,0,90,0.2,90.2,109,11.3,101,12,1,113,14,1,124,14,1,0,1,1,1,0,11
Termite mounds can increase the robustness of dryland ecosystems to climatic change,"Bonachela, JA","Pringle, R.",Science,2015,4,12,1,,,,,,,,,,,,,,,,7,25,18,18,19,1,88,0.0,88.0,107,22.0,110,11,1,132,11,1,154,11,1,0,1,1,1,1,12
On the coupled ecohydrological and geomorphological organization of river basins,"Caylor, K.K.","Manfreda, S.",Advances in Water Resources,2005,14,13,1,0,,,,0,5,4,,5,9,6,5,8,9,6,5,5,4,0,3,0,74,0.4,74.4,102,5.3,79,14,1,85,15,1,90,16,1,0,0,0,0,0,13
Dynamic response of grass cover to rainfall variability: Implications for the function and persistence of savanna ecosystems,"Scanlon, TM","Caylor, K.K.",Advances in Water Resources,2005,14,14,1,0,,,,0,5,3,,9,9,8,1,3,6,8,5,6,4,4,1,0,72,0.3,72.3,103,5.1,77,16,1,82,16,1,87,17,1,0,0,0,0,0,14
Terrestrial hydrological controls on land surface phenology of African savannas and woodlands,"Guan, K.","Wood, E.F.",JGR - Biogeosciences,2014,5,15,1,,,,,,,,,,,,,,,1,4,8,21,14,9,0,57,0.3,57.3,58,11.4,68,17,1,80,17,1,91,15,1,0,0,0,0,0,15
"On the calibration of continuous, high-precision δ18O and δ2H measurements using an off-axis integrated cavity output spectrometer ","Wang, L","Caylor, K.K.",Rapid Communications in Mass Spectrometry,2009,10,16,1,0,,,,,,,,,0,9,7,13,3,2,4,5,7,3,3,0,56,0.0,56.0,63,5.6,62,18,1,67,19,1,73,20,1,0,0,0,0,0,16
Tree spacing along the Kalahari transect in southern Africa,"Caylor, K.K.","Shugart, HH",Journal of Arid Environments,2003,16,17,1,0,,0,3,4,5,7,,3,4,5,3,6,5,3,3,1,2,2,0,0,56,0.7,56.7,72,3.5,60,20,1,63,20,1,67,22,1,0,0,0,0,0,17
On the ecohydrology of structurally heterogeneous semi-arid landscapes,"Caylor, K.K.","D'Odorico, P.",Water Resources Research,2006,13,18,1,0,,,,,2,4,,4,4,4,1,5,4,6,7,3,5,4,1,0,54,0.5,54.5,75,4.2,58,21,1,62,21,1,66,23,1,0,0,0,0,0,18
Understanding the role of ecohydrological feedbacks in ecosystem-state change in drylands,"Turnbull, L",,Ecohydrology,2012,7,19,1,0,,,,,,,,,,,,2,3,5,8,5,14,8,8,0,53,0.3,53.3,64,7.6,61,19,1,68,18,1,76,19,1,0,0,0,0,0,19
Soil moisture and plant stress dynamics along the Kalahari precipitation gradient,"Porporato, A","Laio, F",JGR - Atmospheres,2003,16,20,1,0,,1,3,4,1,4,,2,1,3,0,7,1,4,5,2,4,2,4,0,48,0.7,48.7,66,3.0,51,25,1,54,28,1,57,29,1,0,0,0,0,0,20
On the Use of Unmanned Aerial Systems for Environmental Monitoring,"Manfreda, S.","McCabe, M.",Remote Sensing  ,2018,1,21,1,,,,,,,,,,,,,,,,,,,16,31,0,47,0.5,47.5,31,47.0,94,13,1,141,9,1,188,5,1,0,0,1,1,1,21
Direct quantification of leaf transpiration isotopic composition,"Wang, L.","Good, SP",Agriculture & Forest Meteorology,2012,7,22,1,0,,,,,,,,,,,,5,4,4,9,6,5,9,5,0,47,0.9,47.9,53,6.7,54,22,1,60,22,1,67,21,1,0,0,0,0,0,22
An ecohydrological approach to  predict regional species distribution patterns in dryland ecosystems,"Franz, TE","Caylor, K.K.",Advances in Water Resources,2010,9,23,1,0,,,,,,,,,,0,6,5,6,3,4,5,6,4,8,0,47,1.0,48.0,56,5.2,52,23,1,57,23,1,63,26,1,0,0,0,0,0,23
Ecohydrological optimization of pattern and process in dryland ecosystems: A tradeoff-based hypothesis,"Caylor, K.K.","Scanlon, TM",Water Resources Research,2009,10,24,1,0,,,,,,,,,0,3,4,4,11,4,5,4,5,3,4,0,47,0.2,47.2,71,4.7,52,24,1,56,27,1,61,27,1,0,0,0,0,0,24
"Stable isotopes of water vapor in the vadose zone: A review of measurement and modeling techniques 
","Soderberg, K","Good, SP",Vadose Zone Journal,2012,7,25,1,0,,,,,,,,,,,,1,2,5,7,7,4,9,9,0,44,0.4,44.4,44,6.3,50,26,1,57,26,1,63,25,1,0,0,0,0,0,25
Spatial heterogeneity and sources of soil carbon in Southern African savannas,"Wang, L","Okin, G.",Geoderma,2009,10,26,1,0,,,,,,,,,0,6,3,6,6,3,6,3,3,6,1,0,43,0.7,43.7,58,4.3,47,28,1,52,30,1,56,30,1,0,0,0,0,0,26
δ2H Isotopic flux partitioning of evapotranspiration over a grass field following a water pulse and subsequent dry down,"Good, S.P.","Soderberg, K.",Guan K.,2014,5,27,1,,,,,,,,,,,,,,,1,3,7,4,14,12,0,41,0.8,41.8,37,8.2,49,27,1,57,24,1,66,24,1,0,0,0,0,0,27
Uncertainties in the assessment of the isotopic composition of surface fluxes: A direct comparison of techniques using laser‐based water vapor isotope analyzers,"Good, SP","Soderberg, K",JGR - Atmospheres,2012,7,28,1,0,,,,,,,,,,,,2,4,8,6,7,3,4,7,0,41,0.3,41.3,50,5.9,47,29,1,53,29,1,59,28,1,0,0,0,0,0,28
Measurements and Observations in the XXI century (MOXXI): innovation and multidisciplinarity to sense the hydrological cycle,"Flavia, T.","Selker, J.",Hydrological Sciences Journal,2018,1,29,1,,,,,,,,,,,,,,,,,,,22,17,0,39,0.1,39.1,27,39.0,78,15,1,117,13,1,156,10,1,0,0,1,1,1,29
Vegetation structure characteristics and relationships of Kalahari woodlands and savannas,"Privette, JP","Tian, Y",Global Change Biology,2004,15,30,1,0,,,2,1,5,3,,2,3,3,7,1,2,3,0,2,1,2,1,0,38,0.7,38.7,63,2.5,41,31,1,43,32,1,46,32,1,0,0,0,0,0,30
The effect of warming on grassland evapotranspiration partition using laser-based isotope monitoring techniques,"Wang, L","Nui, S.",Geochemica et Cosmochimica Acta,2013,6,31,1,0,,,,,,,,,,,,,0,6,4,7,8,5,5,0,35,0.9,35.9,38,5.8,41,30,1,47,31,1,52,31,1,0,0,0,0,0,31
Spatial patterns of soil nutrients in two southern African savannas,"Okin, GS","Mladenov, N",JGR - Biogeosciences,2008,11,32,1,0,,,,,,,,1,5,6,2,2,2,4,3,3,2,0,2,0,32,0.3,32.3,40,2.9,35,34,1,38,36,1,41,36,1,0,0,0,0,0,32
When is breeding for drought tolerance optimal when drought is random?,"Sambatti, J","Caylor, K.K.",New Phytologist,2007,12,33,0,0,,,,,,0,,3,1,4,2,5,4,3,4,2,2,1,1,0,32,0.8,32.8,52,2.7,35,35,0,37,37,1,40,37,1,0,0,0,0,0,0
Multi-sensor derivation of regional vegetation fractional cover in Africa,"Guan, K","Wood, EF",Remote Sensing of Environment,2012,7,34,0,0,,,,,,,,,,,,0,1,8,1,7,7,3,4,0,31,0.4,31.4,35,4.4,35,33,1,40,33,1,44,34,1,0,0,0,0,0,0
Tree canopy effects on simulated water stress in southern African savannas,"Caylor, K.K.","Shugart, HH",Ecosystems,2005,14,35,0,1,,,,0,1,1,,0,6,2,2,4,0,3,4,2,3,1,2,0,31,0.9,31.9,45,2.2,33,37,0,35,38,0,38,38,0,0,0,0,0,0,0
Spatial variation in vegetation structure coupled to plant available water at landscape scales in a Brazilian savanna,"Ferira, J.","Bustamente, M",Oecologia,2007,12,36,0,0,,,,,,0,,1,1,1,6,0,1,3,3,7,3,2,2,0,30,0.9,30.9,45,2.5,33,38,0,35,39,0,38,39,0,0,0,0,0,0,0
The southern African Regional Science Initiative (SAFARI 2000): Wet season campaigns,"Otter, LB","Scholes, RJ",South African Journal of Science,2002,17,37,0,0,2,7,6,3,1,2,,3,0,0,0,1,1,1,0,3,0,0,0,0,30,0.6,30.6,28,1.8,32,40,0,34,40,0,35,41,0,0,0,0,0,0,0
