Start Year,End Year,Year,Title,Source,Program,Amount,Role,Award Number,Duration,Yearly Amount,NSF,"Federal, Non-NSF",Foundation,Other,Eval
2018,2019,2018-2019,Developing and Scaling up the Mapping Africa Active Learning Platform,Omidyar Foundation,,"$80,267.00",PI,,2,"$40,133.50",,,1,,1
2018,2022,2018-2022,"Strategic Environmental Research & Development: Understanding and Assessing Riparian Habitat Vulnerability to Drought-Prone Climate Regimes on Department of Defense Bases in the Southwestern US 
","Department of Defense, SERDP",Strategic Environmental Research and Development Program,"$1,704,236.00",Co-PI,,5,"$340,847.20",,1,,,1
2017,2020,2017-2020,"Collaborative Research: Impacts of Dynamic Climate-Driven Water Availability on Tree Water Use and Health in Mediterranean Riparian Forests 
",National Science Foundation,Hydrological Sciences,"$396,566.00",Co-PI,EAR-1700555,4,"$99,141.50",1,,,,1
2017,2020,2017-2020,CC*Networking Infrastructure: UCSB Network Upgrade to 100 Gigabit. ,National Science Foundation,Campus Cyberinfrastructure,"$481,730.00",PI,OAC-1659449,4,"$120,432.50",1,,,,1
2018,2019,2018-2019,WSC-Category 2 Collaborative: Impacts of Agricultural Decision Making and Adaptive Management on Food Security,National Science Foundation,Water Sustainability and Climate,"$628,779.00",PI,SES-1801251,2,"$314,389.50",1,,,,1
2015,2019,2015-2019,Hazards SEES: Understanding Cross-Scale Interactions of Trade and Food Policy to Improve Resilience to Drought Risk,National Science Foundation,SEES Hazards,"$2,519,689.00",Co-PI,SES-1534544,5,"$503,937.80",1,,,,
2015,2015,2015-2015,I-Corps: Pulsepod: Bringing the Cloud Down to Earth,National Science Foundation,I-Corps,"$50,000.00",PI,IIP-1521077,1,"$50,000.00",1,,,,
2014,2018,2014-2018,WSC-Category 2 Collaborative: Impacts of Agricultural Decision Making and Adaptive Management on Food Security,National Science Foundation,Water Sustainability and Climate,"$1,929,565.00",PI,SES-1360421,5,"$385,913.00",1,,,,
2012,2016,2012-2016,Collaborative research: Quantifying the ecosystem-wide impacts of a strong interactor in African watersheds,National Science Foundation,Ecosystem Studies,"$123,336.00",PI,DEB-1145829,5,"$24,667.20",1,,,,
2011,2016,2011-2016,CNH: Institutional Dynamics of Adaptation to Climate Change: Longitudinal Analysis of Snowmelt-Dependent Agricultural Systems,National Science Foundation,Dynamics of Coupled Natural-Human Systems,"$1,200,000.00",Co-PI,BCS-1115009,6,"$200,000.00",1,,,,
2010,2015,2010-2015,ESE: Collaborative Research: Spatial Resilience of Agriculturalists to Coupled Ecological and Hydrological Variability in Rural Zambia,National Science Foundation,"Environment, Society, and the Economy","$350,000.00",PI,BCS-1026334,6,"$58,333.33",1,,,,
2009,2014,2009-2014,CAREER: An ecohydrological framework for understanding land degradation in dryland ecosystems,National Science Foundation,Career,"$1,543,738.00",PI,EAR-0847368,6,"$257,289.67",1,,,,
2009,2011,2009-2011,US - Kenya Doctoral Dissertation Enhancement Project: The Impact of Macropores on the Spatial and Temporal Patterns of Soil Moisture in Dryland Ecosystems of Central Kenya,National Science Foundation,IRES,"$15,000.00",PI,OISE-0854708,3,"$5,000.00",1,,,,
2008,2013,2008-2013,LTREB: KLEE- scaling up and out at the Kenya Long-term Exclosure Experiment,National Science Foundation,LTREB,"$449,800.00",Co-PI,DEB-0816453,6,"$74,966.67",1,,,,
2007,2010,2007-2010,Collaborative Proposal: Distribution and Dynamics of Belowground Carbon in Savannas,National Science Foundation,Ecosystem Studies,"$208,344.00",PI,DEB-0742933,4,"$52,086.00",1,,,,
