Year,Date,Role,Journal or Agency,Eval
2018,5/18,Referee,JGR Biogeosciences,1
2018,5/18,Promotion case reviewer,"University of Texas, Austin",1
2018,5/18,Program Director,Earth Research Institute Graduate Fellowship Program,1
2018,5/18,Referee,PLOS One,1
2018,4/18,Referee,Global and Planetary Change,1
2018,4/18,Referee,Environmental Research Letters,1
2018,3/18,Referee,Mountain Research and Development ,1
2018,3/18,Referee,Agricultural and Forest Meteorology,1
2018,3/18,Referee,Journal of Water Resources Planning & Management,1
2018,2/18,Referee,Environmental Research Letters,1
2018,2/18,Referee,Nature Climate Change,1
2018,2/18,Referee,PLOS One,1
2018,4/18,Referee,NSF Hydrological Sciences,1
2017,10/17,Tenure case reviewer,University of Cape Town,1
2017,8/17,Tenure case reviewer,Indiana University,1
2017,1/17,Tenure case reviewer,University of Alabama,1
2017,11/17,Referee,Earth and Space Science,1
2017,11/17,Referee,Environmental Research Letters,1
2017,10/17,Referee,Environmental Research Letters,1
2017,9/17,Referee,Water Resources Research,1
2017,9/17,Referee,Environmental Research Letters,1
2017,5/17,Referee,Geophysical Research Letters,1
2017,3/17,Referee,Environmental Research Letters,1
2017,1/17,Referee,Nature Communications,1
2017,5/17,Program Director,Earth Research Institute Graduate Fellowship Program,1
2016,10/16,Referee,NSF Hydrological Sciences,1
2016,9/16,Referee,Environmental Research Letters,1
2016,12/16,Referee,Geophysical Research Letters,1
2016,2/16,Referee,Hydrology and Earth System Science,0
2016,2/16,Referee,Water Resources Research,0
2016,1/16,Referee,Global Change Biology,0
2016,12/16,Referee,Geophysical Research Letters,1
2015,11/15,Referee,Environmental Research Letters,0
2015,7/15,Referee,Environmental Research Letters,0
2015,5/15,Referee,Agricultural and Forest Meteorology,0
2012,1/12,Referee,Agricultural and Forest Meteorology,0
2011,9/11,Referee,Agricultural and Forest Meteorology,0
2011,3/11,Referee,Agricultural and Forest Meteorology,0
2010,1/10,Referee,Agricultural and Forest Meteorology,0
