Year,Type,Quarter,Q,QYR,Course,Title,New,Institution,Class Type,Units,Hours per Week,Enrollment,Eval avail,Eval,Dept Mean
2010,Adjunct,Fall,1,F10,Media 280,Understanding New Media,Rev,Hunter College,Lecture,4,3,20,No,,
2010,Adjunct,Fall,1,F10,Media 399,Game Programming,Rev,Hunter College,Lecture/ Studio,4,4,12,No,,
2011,Adjunct,Spring,3,S11,Media 280,Understanding New Media,,Hunter College,Lecture,4,4,25,No,,
2019,Catalog,Fall,1,F19,MAT 594X,Computational Systems for Visual Art and Design,New,UCSB ,Lecture/ Studio,4,4,6,Yes,1.0,1.1
,Catalog,,1,,CMPSC 291I,(Cross-list),,,,4,4,7,Yes,1.0,1.3
2019,Catalog,Fall,1,F19,MAT 596,Directed Research,,UCSB,,4,1,1,,,
2020,Catalog,Winter,2,W20,MAT 594X,Designing Creative Technologies,New,UCSB,Lecture,4,3.5,6,No,No eval due to COVID,
2020,Catalog,Winter,2,W20,MAT 596,Directed Research,,UCSB,,4,1,3,,,
2020,Catalog,Spring,3,S20,MAT 594X,Computational Fabricaton,New,UCSB,Lecture/ Studio,4,3.5,10,Yes,1.1,1.3
2020,Catalog,Spring,3,S20,MAT 596,Directed Research,,UCSB,,4,1,2,,,
2020,Catalog,Spring,3,S20,CMPSC 596,Directed Research,,UCSB,,4,1,1,,,
